"u","c","prob_ruina","utilidad_prom"
32,1,0.048,-21.5827841625868
33,1,0.024,-23.7275751230445
34,1,0.04,-23.9449309845028
35,1,0.012,-23.2063286098287
36,1,0.024,-23.7711995263679
12,1.25,0.12,6.07210407077552
13,1.25,0.112,5.00977230631862
14,1.25,0.08,5.43617270118707
15,1.25,0.04,8.59352868413088
16,1.25,0.044,4.11648381142742
17,1.25,0.06,6.11743538824644
18,1.25,0.024,6.8966908845061
19,1.25,0.048,6.23264110331706
20,1.25,0.02,5.84846328484758
21,1.25,0.04,5.8520937984951
22,1.25,0.016,5.01831609564566
23,1.25,0.012,7.64295745080654
24,1.25,0.012,6.48965014132166
25,1.25,0.016,7.05763805364023
26,1.25,0.028,3.45610903289078
27,1.25,0.016,6.40585586812842
28,1.25,0.008,9.7067180493929
29,1.25,0.012,7.87237942848778
30,1.25,0.008,3.19277076187811
31,1.25,0.004,5.96229953198966
32,1.25,0.016,3.73823258697913
33,1.25,0.004,5.06868376846945
34,1.25,0,5.33816355655722
35,1.25,0,6.75400871924781
36,1.25,0.008,8.17491571219911
12,1.5,0.032,34.8523422590764
13,1.5,0.056,36.5646860577952
14,1.5,0.032,35.1857871695251
15,1.5,0.016,34.0482319019801
16,1.5,0.028,36.3113541185411
17,1.5,0.024,34.7081547729083
18,1.5,0.016,36.2993254952334
19,1.5,0.004,35.8543668151545
20,1.5,0.016,34.3991776523227
21,1.5,0,35.441472177677
22,1.5,0,37.0039296365451
23,1.5,0.012,35.1573468749722
24,1.5,0.004,36.4099418041027
25,1.5,0.008,34.2433541348929
26,1.5,0,38.0592747748445
27,1.5,0.004,32.7137717222392
28,1.5,0,35.5353608508617
29,1.5,0,36.1535514874074
30,1.5,0,36.2051811719461
31,1.5,0,38.6090710325986
32,1.5,0,38.3648885244471
33,1.5,0,35.8869260628219
34,1.5,0,37.3666773041569
35,1.5,0,34.6413136097384
36,1.5,0,34.7881046501332
12,1.75,0.02,64.6120723477081
13,1.75,0.028,64.8180730728997
14,1.75,0.008,67.1836760591612
15,1.75,0.004,64.7232493471616
16,1.75,0.008,67.4487251452603
17,1.75,0.004,65.7534992099447
18,1.75,0.004,66.3566190364737
19,1.75,0.004,68.4155009687464
20,1.75,0.004,65.6302375521692
21,1.75,0,67.0617725315393
22,1.75,0,67.3348916874809
23,1.75,0,65.0820373947562
24,1.75,0,66.0315437725472
25,1.75,0,63.0992962284454
26,1.75,0,66.2339930357305
27,1.75,0,64.8412027090672
28,1.75,0,65.3475856060785
29,1.75,0,65.1062638919567
30,1.75,0,66.9913182738746
31,1.75,0,65.1587944132275
32,1.75,0,67.3571644614333
33,1.75,0,65.7346505921788
34,1.75,0,65.9155009552301
35,1.75,0,66.4134297910305
36,1.75,0,67.8337136634544
12,2,0.008,95.9608005662839
13,2,0.004,97.2389023479779
14,2,0.004,94.8075701324685
15,2,0,98.2706942527375
16,2,0,97.2105692045071
17,2,0,96.3670298563619
18,2,0,95.8545449947782
19,2,0,95.3536306134194
20,2,0.004,96.5971212861656
21,2,0,96.2969589139329
22,2,0,95.7469004024013
23,2,0,95.0514898545708
24,2,0,97.7446384275758
25,2,0,95.6111315549802
26,2,0,95.3625490591875
27,2,0.004,96.2680235982505
28,2,0,96.9431268399605
29,2,0,95.7347210375045
30,2,0,95.0370473112523
31,2,0,95.2648204081304
32,2,0,96.7175987989021
33,2,0,94.0204220570613
34,2,0,96.9308758602983
35,2,0,96.5864150610009
36,2,0,97.424112046841
12,2.25,0,126.746329619103
13,2.25,0.008,124.845189482632
14,2.25,0.004,126.492925584417
15,2.25,0,128.210652025869
16,2.25,0,124.110121252946
17,2.25,0.004,125.699847545796
18,2.25,0,125.234838740287
19,2.25,0,125.568039759423
20,2.25,0,125.526096624533
21,2.25,0.004,124.270641000672
22,2.25,0,125.535903184949
23,2.25,0,125.824947188156
24,2.25,0,127.479677009168
25,2.25,0,127.696348496853
26,2.25,0,128.148643691045
27,2.25,0,126.578102968035
28,2.25,0,125.655861397081
29,2.25,0,127.285783315219
30,2.25,0,127.098755515389
31,2.25,0,126.829691783057
32,2.25,0,125.144148824729
33,2.25,0,124.987128123207
34,2.25,0,125.78156140375
35,2.25,0,125.027574942662
36,2.25,0,126.618606795062
12,2.5,0.008,155.059747254512
13,2.5,0,158.655352182785
14,2.5,0,155.291908711209
15,2.5,0,157.87222946122
16,2.5,0,156.590466175491
17,2.5,0,156.794311446716
18,2.5,0,154.523050108517
