"u","c","prob_ruina","utilidad_prom"
12,0.5,0.94,-26.964684710718
13,0.5,0.932,-30.0681428813573
14,0.5,0.944,-30.415926814629
15,0.5,0.928,-30.8231979354646
16,0.5,0.92,-33.534206735616
17,0.5,0.94,-35.0512644403533
18,0.5,0.928,-36.8664189437675
19,0.5,0.864,-39.5851930299981
20,0.5,0.84,-40.3696699830028
21,0.5,0.864,-41.6811546617715
22,0.5,0.86,-42.8478054336447
23,0.5,0.88,-45.4632173878449
24,0.5,0.824,-46.4041070476637
25,0.5,0.804,-48.388579017168
26,0.5,0.788,-48.4058675892894
27,0.5,0.816,-50.6961279203423
28,0.5,0.792,-52.1703923446813
29,0.5,0.764,-54.0363940882866
30,0.5,0.684,-53.6732695354492
31,0.5,0.74,-55.8899603862667
32,0.5,0.716,-57.6074168012667
33,0.5,0.688,-58.7598377047974
34,0.5,0.692,-60.5287155426284
35,0.5,0.656,-60.8733466633597
36,0.5,0.664,-61.1799609138567
12,0.75,0.684,-28.3483650720329
13,0.75,0.684,-29.5850061775025
14,0.75,0.632,-31.6093765197397
15,0.75,0.604,-31.490650752093
16,0.75,0.58,-33.7887867882633
17,0.75,0.576,-33.7380828493612
18,0.75,0.588,-37.2835615124853
19,0.75,0.564,-36.9197649639322
20,0.75,0.532,-38.0193946139026
21,0.75,0.516,-39.4676359071748
22,0.75,0.476,-42.3585708317888
23,0.75,0.468,-42.2838538017202
24,0.75,0.432,-41.5137208398434
25,0.75,0.396,-42.0341331361542
26,0.75,0.428,-44.8638367546843
27,0.75,0.408,-45.0407440333074
28,0.75,0.376,-43.7803646366803
29,0.75,0.384,-43.5373439699752
30,0.75,0.376,-45.7660012839396
31,0.75,0.288,-45.905560159159
32,0.75,0.308,-47.3867722130567
33,0.75,0.32,-46.9177489728675
34,0.75,0.272,-50.3283643685824
35,0.75,0.24,-48.1765617565557
36,0.75,0.248,-50.2281961097423
12,1,0.38,-19.7015092400222
13,1,0.344,-17.8971562828456
14,1,0.336,-18.4379136656364
15,1,0.252,-18.1701464882349
16,1,0.276,-19.8877020269261
17,1,0.248,-20.7781459506218
18,1,0.228,-21.3855573846869
19,1,0.244,-21.091178104242
20,1,0.196,-20.603540115509
21,1,0.176,-21.1372457538859
22,1,0.152,-19.4232194184946
23,1,0.208,-22.4786540757636
24,1,0.204,-22.0683037207651
25,1,0.176,-21.3792480233528
26,1,0.108,-23.3691332120898
27,1,0.108,-21.4320475704303
28,1,0.1,-23.8598590991448
29,1,0.144,-24.7244008096265
30,1,0.096,-24.9994769832132
31,1,0.12,-22.4378232951394
32,1,0.08,-24.8011386663941
33,1,0.044,-21.618929220779
34,1,0.064,-23.6902940653222
35,1,0.056,-23.2809838094435
36,1,0.048,-25.0878598518302
12,1.25,0.176,4.46753829502887
13,1.25,0.148,4.80109047178333
14,1.25,0.184,1.29677670841501
15,1.25,0.12,6.33766606150593
16,1.25,0.116,4.98392790753643
17,1.25,0.084,6.16451895108708
18,1.25,0.088,3.9914243945676
19,1.25,0.06,4.82581648030292
20,1.25,0.056,6.54965999370824
21,1.25,0.032,6.16806922465133
22,1.25,0.052,4.3351138405647
23,1.25,0.072,3.62399877881425
24,1.25,0.04,6.08297966190682
25,1.25,0.024,4.38123505794689
26,1.25,0.024,6.93038749727101
27,1.25,0.02,6.38254176358221
28,1.25,0.02,7.60989261790934
29,1.25,0.02,5.98258311456958
30,1.25,0.012,4.92216216138089
31,1.25,0.02,6.95264046510315
32,1.25,0.004,4.73462085817553
33,1.25,0.012,7.82908816358662
34,1.25,0.02,3.60002437147339
35,1.25,0.008,6.06493677483746
36,1.25,0.004,7.18145301143748
12,1.5,0.084,32.4557046122292
13,1.5,0.052,34.3942789135348
14,1.5,0.076,33.1797797035046
15,1.5,0.032,35.5732950278885
16,1.5,0.032,36.8747322745603
17,1.5,0.024,38.3794878592891
18,1.5,0.028,33.5981391155912
19,1.5,0.016,35.3896173350686
20,1.5,0.028,35.6166769352275
21,1.5,0.016,33.8475304166951
22,1.5,0.008,33.3713666391175
23,1.5,0.008,38.2856207321529
24,1.5,0.004,36.4658100269608
25,1.5,0.012,35.3089388184259
26,1.5,0.012,33.6789347278812
27,1.5,0.008,35.815078098036
28,1.5,0.004,33.1042505227376
29,1.5,0.004,35.7692308394518
30,1.5,0.008,34.372529741537
31,1.5,0.004,35.0342526109591
32,1.5,0.008,34.5106094002621
33,1.5,0.004,34.7195556112189
34,1.5,0.008,37.0031611906128
35,1.5,0,34.7960313381964
36,1.5,0,36.652196290235
12,1.75,0.044,65.8310058760249
13,1.75,0.036,63.608961154868
14,1.75,0.024,63.761500598322
15,1.75,0.02,65.7296496400705
16,1.75,0.012,65.0974179750428
17,1.75,0.008,68.2436459417662
18,1.75,0.012,67.5892970681075
19,1.75,0.012,66.025849514561
20,1.75,0.008,62.3527264614267
21,1.75,0.008,64.0128148197678
22,1.75,0.012,65.5522800283341
23,1.75,0.02,63.5494194788118
24,1.75,0.004,66.6283156631982
25,1.75,0.004,66.8853804185385
26,1.75,0.008,66.1888822631788
27,1.75,0,64.9351252085536
28,1.75,0,67.804778235711
29,1.75,0,65.3631219997108
30,1.75,0,66.9315294048636
31,1.75,0.004,66.7838385993082
32,1.75,0.004,64.0652023073318
33,1.75,0,67.0220835267059
34,1.75,0,66.7602225687305
35,1.75,0,62.6169657329708
