"u","c","prob_ruina","utilidad_prom"
29,1.75,0,67.7210586348201
30,1.75,0,66.468899049744
31,1.75,0,66.7047801235134
32,1.75,0,64.4235467025258
33,1.75,0.008,64.8079731983353
34,1.75,0,66.6856914796367
35,1.75,0,67.0693741516574
36,1.75,0,65.3344871148983
12,2,0.02,93.8667629846709
13,2,0.02,96.4871659554908
14,2,0.012,94.7320254307624
15,2,0.024,94.6043933769583
16,2,0.02,92.7158989138461
17,2,0.008,95.6629655614403
18,2,0,95.9155632775586
19,2,0,97.8630027736567
20,2,0,96.4892474815072
21,2,0.012,94.2261357228882
22,2,0.004,92.479127188261
23,2,0,98.528956062209
24,2,0,93.6427983973202
25,2,0,93.4698281298434
26,2,0.004,96.2546296319038
27,2,0.004,96.6123200928029
28,2,0,94.8717140494354
29,2,0,96.6140762552101
30,2,0,96.5509608001095
31,2,0,95.1980109539171
32,2,0,96.5842315702936
33,2,0,95.8473398932263
34,2,0,97.3754896905496
35,2,0,96.8885963141653
36,2,0,96.72408067472
12,2.25,0.012,124.699017516425
13,2.25,0.012,124.726352838526
14,2.25,0.024,122.590296493263
15,2.25,0.02,120.980513147194
16,2.25,0.008,125.727571934964
17,2.25,0.012,124.109715456621
18,2.25,0,124.485331494044
19,2.25,0,124.597389811307
20,2.25,0,129.329844020715
21,2.25,0.004,125.075965384403
22,2.25,0,124.133321391026
23,2.25,0,124.648372997457
24,2.25,0,126.087929762534
25,2.25,0,127.331186257878
26,2.25,0,128.014926116535
27,2.25,0,125.294214124617
28,2.25,0,122.803501509289
29,2.25,0,123.936412520524
30,2.25,0,127.828933756262
31,2.25,0,125.101961439386
32,2.25,0,126.386767523246
33,2.25,0,126.466631585531
34,2.25,0,126.42668986706
35,2.25,0,126.772483830556
36,2.25,0,123.570420013608
12,2.5,0.004,155.91222427854
13,2.5,0.016,153.139929450381
14,2.5,0.008,157.554119436585
15,2.5,0.02,149.907584359789
16,2.5,0,154.359723431893
17,2.5,0.008,153.861702229968
18,2.5,0.004,152.504877246386
19,2.5,0,155.518714608114
20,2.5,0,156.651591873262
21,2.5,0,153.405294198352
22,2.5,0,153.651693290598
23,2.5,0,154.921138089773
24,2.5,0,157.529161513411
25,2.5,0,155.266793368374
26,2.5,0,157.032274258075
27,2.5,0,155.492573282436
28,2.5,0,156.873986633703
29,2.5,0,154.752517194213
30,2.5,0,158.421895362562
31,2.5,0,154.279495655432
32,2.5,0,155.02830488985
33,2.5,0,154.622440336172
34,2.5,0,154.607206648478
35,2.5,0,154.963763587431
36,2.5,0,155.223211997602
12,2.75,0.012,181.717352745164
13,2.75,0.012,183.605632029745
14,2.75,0.004,183.780638180626
15,2.75,0.004,184.067568825032
16,2.75,0,186.581320847862
17,2.75,0,183.39455702931
18,2.75,0,184.924176609403
19,2.75,0,187.835439781678
20,2.75,0.004,186.117848550814
21,2.75,0,184.908560198194
22,2.75,0,183.419759637835
23,2.75,0,186.159230362266
24,2.75,0,185.271513202497
25,2.75,0,188.145454616951
26,2.75,0,185.020957721755
27,2.75,0,184.790856822842
28,2.75,0,185.461679950044
29,2.75,0,187.333052141853
30,2.75,0,184.255183329102
31,2.75,0,185.989171756439
32,2.75,0,185.959186375385
33,2.75,0,187.063507228017
34,2.75,0,184.863354666443
35,2.75,0,188.055451621953
36,2.75,0,184.794679878102
12,3,0.004,218.675409997834
13,3,0,216.565376530841
14,3,0,214.276702216121
15,3,0.004,216.378034985654
16,3,0,215.667672608479
17,3,0,213.742087992534
18,3,0,213.081621115017
19,3,0,217.0364476841
20,3,0,214.168073458633
21,3,0,215.996993335527
22,3,0,215.354975485859
23,3,0.004,213.927146236102
24,3,0,216.225428615714
25,3,0,218.259460415496
26,3,0,216.928878783362
27,3,0,218.587301644002
28,3,0,217.023775208932
29,3,0,217.284048547357
30,3,0,215.984763648647
31,3,0,216.244146287193
32,3,0,216.63129178147
33,3,0,216.487414125042
34,3,0,215.444537452524
35,3,0,219.658636668023
36,3,0,213.801518344057
