"u","c","prob_ruina","utilidad_prom"
17,1.75,0.004,66.9109281653515
18,1.75,0.008,66.3989873013762
19,1.75,0,67.9332931639998
20,1.75,0.012,62.5737720384405
21,1.75,0.008,66.9728425441209
22,1.75,0.008,66.3242812480964
23,1.75,0.004,63.9428255692417
24,1.75,0.004,68.5879556324462
25,1.75,0.004,62.8399566646395
26,1.75,0,67.1440488549411
27,1.75,0,66.318106814146
28,1.75,0,66.9511889267033
29,1.75,0,65.2847483974154
30,1.75,0,65.6376944092929
31,1.75,0.004,67.8830702986767
32,1.75,0,64.3648214279124
33,1.75,0.004,66.9716860996803
34,1.75,0,64.5417079808457
35,1.75,0,66.0257097000271
36,1.75,0,63.7508663230443
12,2,0.008,95.0669345069413
13,2,0.008,94.7381135970273
14,2,0.02,94.3021187383663
15,2,0.008,95.982870453567
16,2,0.004,96.3002817742612
17,2,0.004,96.3562734638645
18,2,0.004,96.1049609416295
19,2,0,95.4919169697363
20,2,0.012,94.703277623355
21,2,0.004,93.0073498594656
22,2,0,96.5869524150753
23,2,0.004,95.3415682097238
24,2,0,92.497746077267
25,2,0,96.6331275223748
26,2,0,98.6293127010884
27,2,0.004,94.7071866518274
28,2,0,91.9092534497641
29,2,0,95.8499430952849
30,2,0,96.3370722662048
31,2,0,95.0950045180054
32,2,0,95.463993954603
33,2,0,96.9672075878525
34,2,0,94.732510866956
35,2,0,95.7520372019839
36,2,0,95.0357324617786
12,2.25,0.032,122.346528929022
13,2.25,0.012,123.345489418218
14,2.25,0.008,126.453978134885
15,2.25,0.008,126.577803775934
16,2.25,0.004,125.484104640561
17,2.25,0.004,126.660638851072
18,2.25,0.004,126.780545533362
19,2.25,0,126.978930107819
20,2.25,0,125.703409171904
21,2.25,0.004,128.626536968107
22,2.25,0,123.115548869453
23,2.25,0,126.97314607201
24,2.25,0.008,122.520655264814
25,2.25,0,125.688120642181
26,2.25,0,125.065588433315
27,2.25,0,127.587629112045
28,2.25,0,124.668779620697
29,2.25,0,126.991066667349
30,2.25,0,125.119106582369
31,2.25,0,125.407445089891
32,2.25,0,123.676558248283
33,2.25,0,124.924859196609
34,2.25,0,128.058882108064
35,2.25,0,126.434001955097
36,2.25,0,125.317424576753
12,2.5,0.016,155.343564609916
13,2.5,0.02,153.393225053883
