"u","c","prob_ruina","utilidad_prom"
12,0.5,0.976,-27.1797690426294
13,0.5,0.96,-29.4639846142966
14,0.5,0.948,-31.9185882161595
15,0.5,0.936,-32.1250356096883
16,0.5,0.912,-34.2272717422359
17,0.5,0.896,-36.2546662098249
18,0.5,0.916,-38.0258699248623
19,0.5,0.912,-39.6526779173217
20,0.5,0.9,-41.292120608073
21,0.5,0.868,-42.6443376820591
22,0.5,0.868,-43.1264325361807
23,0.5,0.82,-45.7168948712108
24,0.5,0.864,-47.4123400604861
25,0.5,0.816,-49.7941252720473
26,0.5,0.836,-50.255320593493
27,0.5,0.8,-52.051874067914
28,0.5,0.768,-52.2403296128376
29,0.5,0.768,-54.9261661066336
30,0.5,0.776,-56.7650004261005
31,0.5,0.772,-57.1903843600559
32,0.5,0.724,-58.4688522175797
33,0.5,0.676,-59.474002611213
34,0.5,0.684,-62.3635943335613
35,0.5,0.64,-62.6415249825245
36,0.5,0.648,-62.0565921730959
12,0.75,0.6,-29.8001329474483
13,0.75,0.664,-30.1908362021208
14,0.75,0.656,-33.0934769111251
15,0.75,0.624,-34.3858506842675
16,0.75,0.64,-34.9001657102765
17,0.75,0.528,-36.4148291620054
18,0.75,0.512,-37.3685581676235
19,0.75,0.464,-39.3896009927826
20,0.75,0.492,-39.7198632030106
21,0.75,0.444,-40.3995642250319
22,0.75,0.464,-41.8387920491917
23,0.75,0.412,-42.8159955056479
24,0.75,0.444,-43.8674747686145
25,0.75,0.308,-43.712698605049
26,0.75,0.352,-45.4776023398002
27,0.75,0.352,-46.1337752741479
28,0.75,0.304,-45.5854198915828
29,0.75,0.336,-48.2146334003574
30,0.75,0.244,-46.0976273680703
31,0.75,0.276,-47.7332658780841
32,0.75,0.248,-47.6993423921188
33,0.75,0.292,-48.463905797477
34,0.75,0.28,-49.9551825398656
35,0.75,0.208,-48.9536853006747
36,0.75,0.26,-49.7408034916947
12,1,0.336,-18.9214950250626
13,1,0.268,-19.1060069188734
14,1,0.268,-18.4205535741196
15,1,0.204,-18.9505854254571
16,1,0.208,-20.3799824866871
17,1,0.236,-21.9361836276245
18,1,0.2,-20.284423411304
19,1,0.132,-20.2326477954874
20,1,0.16,-21.4032274517806
21,1,0.168,-23.512414804616
22,1,0.148,-21.3644065457199
23,1,0.096,-21.6028145925469
24,1,0.092,-22.3344730996609
25,1,0.088,-20.667490917735
26,1,0.08,-21.2257236990833
27,1,0.06,-22.5864616096638
28,1,0.06,-21.4918733547911
29,1,0.08,-23.5502889893951
30,1,0.04,-23.0699228073069
31,1,0.02,-22.6416103465241
32,1,0.052,-24.3921078501729
33,1,0.044,-24.4717714777206
34,1,0.032,-22.1781110874434
35,1,0.052,-24.1957020260929
36,1,0.04,-24.3314083548681
12,1.25,0.096,5.72494109730316
13,1.25,0.068,6.77222779550536
14,1.25,0.076,7.99394625593118
15,1.25,0.08,4.63089969264618
16,1.25,0.068,5.05156245899957
17,1.25,0.08,4.86440152531276
18,1.25,0.02,8.15725999535373
19,1.25,0.028,7.31056793847375
20,1.25,0.028,6.5687168637764
21,1.25,0.016,7.42962088639835
22,1.25,0.024,5.12556001919843
23,1.25,0.024,8.62867079851268
24,1.25,0.02,4.27305659426266
25,1.25,0.008,6.08098054901815
26,1.25,0.008,4.01495761899332
27,1.25,0.012,8.29527046923333
28,1.25,0.008,6.14135216735492
29,1.25,0.004,9.74673713153861
30,1.25,0.012,7.04065267042638
31,1.25,0,8.00835201846849
32,1.25,0,6.09461846676745
33,1.25,0.004,6.22722376532443
34,1.25,0.004,8.07093363737206
35,1.25,0.004,6.66164544377768
36,1.25,0.004,6.87114111765836
12,1.5,0.028,37.1142679124927
13,1.5,0.024,36.6357390382967
14,1.5,0.02,36.5247380849816
15,1.5,0.004,38.4662259397878
16,1.5,0.008,35.3386280360585
