"u","c","prob_ruina","utilidad_prom"
12,0.5,0.964,-25.2410025012543
13,0.5,0.912,-27.7803660451269
14,0.5,0.9,-28.6502877308875
15,0.5,0.9,-30.8750270704137
16,0.5,0.936,-32.9776998350571
17,0.5,0.928,-34.7829697405137
18,0.5,0.88,-35.9743780076211
19,0.5,0.896,-37.2825097410903
20,0.5,0.896,-37.9839069622844
21,0.5,0.812,-41.7683874220423
22,0.5,0.884,-42.0837923178856
23,0.5,0.82,-43.7443822532496
24,0.5,0.784,-44.9210164887914
25,0.5,0.816,-44.8835629724071
26,0.5,0.804,-47.6024720058143
27,0.5,0.784,-48.090265606002
28,0.5,0.812,-51.5704109450243
29,0.5,0.728,-51.6196870966838
30,0.5,0.732,-52.2658789599967
31,0.5,0.724,-54.0703797519371
32,0.5,0.736,-55.3567248863105
33,0.5,0.76,-56.9738191054553
34,0.5,0.736,-56.7639478761028
35,0.5,0.664,-59.4222536657498
36,0.5,0.656,-58.9323877163638
12,0.75,0.776,-26.567924374729
13,0.75,0.74,-27.4581083914808
14,0.75,0.664,-28.6283969449671
15,0.75,0.672,-30.3456516355804
16,0.75,0.684,-33.087873692161
17,0.75,0.64,-32.7599270720844
18,0.75,0.64,-33.366623759433
19,0.75,0.6,-34.0390040657427
20,0.75,0.636,-36.8022882460428
21,0.75,0.58,-34.7121875856785
22,0.75,0.548,-38.0146376412295
23,0.75,0.536,-41.041204103216
24,0.75,0.472,-41.1788144499591
25,0.75,0.528,-39.2198599072745
26,0.75,0.452,-42.1730643190839
27,0.75,0.476,-43.1811271150731
28,0.75,0.428,-41.9975565024923
29,0.75,0.376,-42.9650867932113
30,0.75,0.376,-42.9211827238003
31,0.75,0.356,-46.616476593561
32,0.75,0.32,-45.0456275614386
33,0.75,0.38,-49.5916141709866
34,0.75,0.3,-47.0803365120314
35,0.75,0.336,-47.8691564643961
36,0.75,0.24,-44.597715908361
12,1,0.472,-17.6412523773671
13,1,0.416,-18.2177536305976
14,1,0.384,-18.7907053961307
15,1,0.372,-18.7525715986195
16,1,0.336,-17.7340725069098
17,1,0.388,-21.1367920990294
18,1,0.296,-20.2815363819505
19,1,0.28,-20.8206884371574
20,1,0.252,-20.2842803036713
21,1,0.244,-20.1995865277002
22,1,0.224,-20.717615597333
23,1,0.196,-22.7954231127419
24,1,0.22,-21.880959638431
25,1,0.212,-22.0841915610786
26,1,0.176,-22.8008209156603
27,1,0.16,-21.4376116937648
28,1,0.152,-23.9246073520576
29,1,0.128,-22.0814086671562
30,1,0.12,-23.4287294430836
31,1,0.144,-26.8348248613629
32,1,0.1,-22.5541372240887
33,1,0.112,-26.1664797983807
34,1,0.08,-20.9540296926556
35,1,0.064,-22.836042504383
36,1,0.096,-23.8906207958077
12,1.25,0.288,0.485831175200362
13,1.25,0.168,6.09929403024553
14,1.25,0.192,5.95010711916593
15,1.25,0.152,5.29492654617307
16,1.25,0.144,2.793020390053
17,1.25,0.124,7.54826678315424
18,1.25,0.096,5.13685958681391
19,1.25,0.088,2.71275290874667
20,1.25,0.104,6.67042978178707
21,1.25,0.084,4.35712851681146
22,1.25,0.072,2.93624065641361
23,1.25,0.084,4.17751956240779
24,1.25,0.096,3.89032391861847
25,1.25,0.064,5.77223713819777
26,1.25,0.048,4.5075920293695
27,1.25,0.06,5.09772727517051
28,1.25,0.028,3.24462351189453
29,1.25,0.056,2.48542501293342
30,1.25,0.016,6.1437357771868
31,1.25,0.036,3.62650149121821
32,1.25,0.036,6.08995399181327
33,1.25,0.02,4.20650625611009
34,1.25,0.008,9.66343365693779
35,1.25,0.02,3.52111266424685
36,1.25,0.012,5.92133518912108
12,1.5,0.096,31.1334464278999
13,1.5,0.104,31.0169324916524
14,1.5,0.076,33.6124826821575
15,1.5,0.068,32.229487552965
16,1.5,0.044,34.6745059854589
17,1.5,0.036,36.7786060142526
18,1.5,0.052,33.2458472790957
19,1.5,0.052,35.6015203129443
20,1.5,0.028,35.6732525687127
21,1.5,0.028,34.2984568960909
22,1.5,0.032,34.1989109956858
23,1.5,0.032,32.6141175900699
24,1.5,0.024,35.0246084945185
25,1.5,0.012,32.112102295603
26,1.5,0.016,34.0772334236193
27,1.5,0.008,35.1471729256799
28,1.5,0.016,33.3417411464723
29,1.5,0.004,35.7620736851875
30,1.5,0.008,33.9109440458729
31,1.5,0.02,31.6821235942913
32,1.5,0.004,33.9961644213624
33,1.5,0,36.0922347624365
34,1.5,0.008,37.9981086120624
35,1.5,0.008,34.2353440098525
36,1.5,0,35.6005068801389
12,1.75,0.044,66.2823891170461
13,1.75,0.044,62.6394737146982
14,1.75,0.032,63.8002660661765
15,1.75,0.04,62.9912548443347
16,1.75,0.02,62.8671064586937
17,1.75,0.024,62.7540432263394
18,1.75,0.036,65.5644154665288
19,1.75,0.024,64.8566291410552
20,1.75,0.024,63.2191565819803
21,1.75,0.02,64.1856220321518
22,1.75,0.012,63.7188794167458
23,1.75,0.008,63.5879657564836
24,1.75,0.004,64.6881563282238
25,1.75,0.004,65.4491681513657
26,1.75,0.008,64.2788403838763
27,1.75,0.004,65.7634783103991
28,1.75,0,62.7165435311848
29,1.75,0.004,61.1752699065519
30,1.75,0.008,65.3647191092836
31,1.75,0,65.9345264852223
32,1.75,0.008,65.791063579549
33,1.75,0,64.0906331621927
34,1.75,0,63.2699069095069
35,1.75,0,66.7997092106403
36,1.75,0,63.6938031945848
12,2,0.024,92.6622021733182
13,2,0.044,92.8431414104503
14,2,0.036,91.3070219470102
15,2,0.016,94.5078223222387
16,2,0.016,90.9829451569963
17,2,0.008,94.9921309732304
18,2,0.004,93.6908845693204
19,2,0.004,93.4288407919578
20,2,0,91.7140082464251
21,2,0.004,94.497019874304
22,2,0.008,95.4829617370624
23,2,0.012,89.189416037696
24,2,0,95.0026758335428
25,2,0.004,95.7695234315151
26,2,0.004,95.5093819969447
27,2,0.004,93.5804945471962
28,2,0,94.6897582561304
29,2,0,92.5584515459332
30,2,0.004,97.2398813721877
31,2,0,94.733412366668
32,2,0,93.9587885357031
33,2,0,97.8708254456303
34,2,0,92.977008119105
35,2,0,95.8554281103623
36,2,0,97.234755003634
12,2.25,0.028,122.46181079712
13,2.25,0.016,122.635317018895
14,2.25,0.02,119.98520054887
15,2.25,0.008,122.608386510275
16,2.25,0.012,121.59129343185
17,2.25,0.004,125.015092914709
18,2.25,0.008,121.735174376888
19,2.25,0.004,127.9126190805
20,2.25,0.004,121.21939885448
21,2.25,0.004,127.854978986711
22,2.25,0.004,128.335687028371
23,2.25,0.004,122.911028756731
24,2.25,0,128.258763087286
25,2.25,0,125.313573636038
26,2.25,0,123.705782753465
27,2.25,0.004,126.193954174379
28,2.25,0,126.987521710424
29,2.25,0,123.670396283261
30,2.25,0,126.783074425644
31,2.25,0,128.208704470866
32,2.25,0,125.842588888744
33,2.25,0,125.006317150155
34,2.25,0,123.931048252188
35,2.25,0,129.219079948482
36,2.25,0.004,125.519871760446
12,2.5,0.024,151.289061472083
13,2.5,0.004,154.298688304268
14,2.5,0.012,153.234044403547
15,2.5,0,156.00310226607
16,2.5,0.004,154.725662920944
17,2.5,0.012,155.689559890043
18,2.5,0.004,154.752519623351
19,2.5,0.004,155.919358108075
20,2.5,0,154.561804098989
21,2.5,0,153.469850564458
22,2.5,0.004,154.38176031292
23,2.5,0,154.922990711049
24,2.5,0,154.638253056373
25,2.5,0,156.543393880192
26,2.5,0,155.430085280457
27,2.5,0,153.773081112624
28,2.5,0,153.862499544858
29,2.5,0,155.254547782151
30,2.5,0,154.308250451994
31,2.5,0,155.270614786985
32,2.5,0,155.598170200702
33,2.5,0,155.591606183885
34,2.5,0,154.739967720108
35,2.5,0,159.499586261941
36,2.5,0,155.241512402839
12,2.75,0.012,183.655077001539
13,2.75,0.004,187.388723838856
14,2.75,0,185.525681549774
15,2.75,0.012,181.517030556696
16,2.75,0,185.368504814067
17,2.75,0.012,179.919552257658
18,2.75,0,186.238565142718
19,2.75,0,184.979867620541
20,2.75,0,185.111051937434
21,2.75,0,184.096310853354
22,2.75,0,183.466868626565
23,2.75,0,188.165491635104
24,2.75,0,185.445464562872
25,2.75,0,184.886807987809
26,2.75,0,182.394246975625
27,2.75,0,186.879668840334
28,2.75,0,187.290561336136
29,2.75,0,182.921293216799
30,2.75,0,186.078925982557
31,2.75,0,181.942993457744
32,2.75,0,183.385990404164
33,2.75,0,186.73438753991
34,2.75,0,184.120793240482
35,2.75,0,181.721853955408
36,2.75,0,186.351862387418
12,3,0.008,211.451728190285
13,3,0.008,213.810506253041
14,3,0.004,215.662436191517
15,3,0,213.722063931961
16,3,0,213.512634712295
17,3,0,214.896540941878
18,3,0,216.77235456814
19,3,0,218.34928356653
20,3,0,215.296193856029
21,3,0,213.729330772413
22,3,0,216.279967018026
23,3,0,216.357490738624
24,3,0,216.078942815786
25,3,0,214.302039554268
26,3,0,216.907713820572
27,3,0,217.065680559509
28,3,0,211.781397469946
29,3,0,212.840030240249
30,3,0,218.327042187291
31,3,0,215.09894502197
32,3,0,212.660502289013
33,3,0,213.430447760001
34,3,0,219.303387088074
35,3,0,214.647379386595
36,3,0,212.638233980997
