"u","c","prob_ruina","utilidad_prom"
12,0.5,0.784,-22.3354494552828
13,0.5,0.768,-23.4863377184912
14,0.5,0.704,-24.6676356014856
15,0.5,0.724,-24.8411030370134
16,0.5,0.612,-26.8908538170098
17,0.5,0.628,-28.3371801764022
18,0.5,0.684,-27.9001739275198
19,0.5,0.664,-30.1315784106715
20,0.5,0.588,-30.0352514654961
21,0.5,0.564,-31.1845711230673
22,0.5,0.616,-32.99811557818
23,0.5,0.532,-33.137610838149
24,0.5,0.476,-33.1573565409418
25,0.5,0.46,-33.9751349753527
26,0.5,0.492,-34.125129739213
27,0.5,0.416,-34.8190278529956
28,0.5,0.448,-37.0127352788436
29,0.5,0.412,-36.1909069726482
30,0.5,0.336,-36.1173985704947
31,0.5,0.308,-37.0911594642237
32,0.5,0.36,-37.9851394733734
33,0.5,0.312,-38.7801354286105
34,0.5,0.264,-39.0751814286261
35,0.5,0.32,-39.7687845990227
36,0.5,0.22,-38.194197116456
12,0.75,0.528,-18.4925721711917
13,0.75,0.536,-18.3118402786046
14,0.75,0.492,-19.5322457460413
15,0.75,0.432,-20.0998550593265
16,0.75,0.424,-21.2202268429832
17,0.75,0.368,-21.7650945117223
18,0.75,0.376,-22.3174417003913
19,0.75,0.348,-22.8870916745693
20,0.75,0.332,-21.8975455363716
21,0.75,0.26,-22.5988583813663
22,0.75,0.312,-23.6728448838863
23,0.75,0.264,-23.876230665211
24,0.75,0.268,-25.2717087395403
25,0.75,0.208,-25.8303876000503
26,0.75,0.212,-25.066777581873
27,0.75,0.212,-26.6653200666176
28,0.75,0.168,-25.1593064356537
29,0.75,0.14,-24.6039179464621
30,0.75,0.168,-24.0178492049788
31,0.75,0.128,-24.8567673396854
32,0.75,0.136,-24.988777596329
33,0.75,0.1,-24.7920351893325
34,0.75,0.088,-25.7341540325895
35,0.75,0.1,-27.0705506870635
36,0.75,0.064,-26.8877714289582
12,1,0.292,-10.009354904224
13,1,0.32,-10.8070522863082
14,1,0.26,-10.4101749925571
15,1,0.208,-8.51746882536803
16,1,0.196,-10.2360082662457
17,1,0.16,-10.6943114599717
18,1,0.172,-9.63242751472497
19,1,0.172,-12.1252139830858
20,1,0.104,-10.5310611952907
21,1,0.136,-10.8958657230966
22,1,0.16,-12.9505824833423
23,1,0.092,-12.5504149491924
24,1,0.12,-11.8932484908842
25,1,0.068,-10.9652199473277
26,1,0.068,-13.1591849361409
27,1,0.08,-11.6605391345611
28,1,0.044,-10.9065101629
29,1,0.044,-11.2117427684154
30,1,0.048,-12.5072659610247
31,1,0.044,-12.300077495027
32,1,0.048,-10.7768281937737
33,1,0.032,-10.7399268951174
34,1,0.04,-13.4561777508825
35,1,0.024,-12.1537916463973
