"u","c","prob_ruina","utilidad_prom"
34,1.25,0.02,5.2219644780387
35,1.25,0.008,7.13257123736263
36,1.25,0.004,6.89196604671758
12,1.5,0.052,34.5528848666273
13,1.5,0.064,30.9792039465562
14,1.5,0.032,37.7520005416781
15,1.5,0.016,34.2147663076887
16,1.5,0.02,37.2957364709055
17,1.5,0.02,36.0628640232412
18,1.5,0.036,34.8783619871758
19,1.5,0.02,28.503240090033
20,1.5,0.02,36.6981398460565
21,1.5,0.024,32.7538874774955
22,1.5,0.012,35.8134801535264
23,1.5,0.032,34.2411890805803
24,1.5,0.024,35.8871443997479
25,1.5,0.008,37.4251402170463
26,1.5,0.004,37.0780280724616
27,1.5,0.012,34.5065229854574
28,1.5,0.008,36.4744744709992
29,1.5,0,35.7308134076314
30,1.5,0,36.29821142704
31,1.5,0,37.1342343220136
32,1.5,0.012,34.8378519339518
33,1.5,0,33.7015785040025
34,1.5,0.008,33.5367249788758
35,1.5,0,36.6888830131246
36,1.5,0.004,36.5918747299485
12,1.75,0.024,65.3249290093798
13,1.75,0.016,66.4412567648
14,1.75,0.02,67.7974428918922
15,1.75,0.028,64.7285567183374
16,1.75,0.02,64.6186000662396
17,1.75,0.008,66.2851856339543
18,1.75,0.02,67.4861122251506
19,1.75,0.012,67.3433793152573
20,1.75,0.016,63.5847016890017
21,1.75,0.008,67.0210387301338
22,1.75,0.02,63.9270439773751
23,1.75,0.016,67.4894613580262
24,1.75,0,64.2083070747147
25,1.75,0.008,64.2760601662319
26,1.75,0.012,64.8779636685195
27,1.75,0.008,66.7290295761276
28,1.75,0.004,65.3166229448412
29,1.75,0.016,62.1657388140263
30,1.75,0.004,62.5201700386637
31,1.75,0.008,66.5839941808301
32,1.75,0,66.0366716027664
33,1.75,0,63.9864742565828
34,1.75,0,66.2601950012394
35,1.75,0.004,64.2381739216045
36,1.75,0.012,64.0632680004799
12,2,0.032,92.9869290772831
13,2,0.032,92.9692880301761
14,2,0.02,92.3691944497799
15,2,0.024,92.5660199532705
16,2,0.008,95.0674722040317
17,2,0.012,96.2963679422741
18,2,0.012,94.3287416754663
19,2,0.012,93.3093503713876
20,2,0.012,96.1250595057366
21,2,0.012,94.6449339977423
22,2,0.024,91.02264087126
23,2,0,95.3217487394736
24,2,0.004,95.6355983715976
25,2,0,97.3829854125678
26,2,0.004,95.0225919276579
27,2,0.008,93.4327573210105
28,2,0.004,94.0990230581754
29,2,0.004,96.0430061502328
30,2,0,96.2103254248311
31,2,0.008,94.4274975830429
32,2,0,96.0599598730515
33,2,0.004,96.8303722005939
34,2,0.004,97.639849950519
35,2,0.008,95.5596903970735
36,2,0,97.1585363452944
12,2.25,0.008,123.633363732193
13,2.25,0.02,120.669998551734
14,2.25,0.016,123.585522742469
15,2.25,0.008,125.597321333578
16,2.25,0.012,122.933157581733
17,2.25,0.008,127.43976625127
18,2.25,0.004,124.259750118765
19,2.25,0.008,126.601149983213
20,2.25,0.008,126.024115373135
21,2.25,0.016,122.872701361648
22,2.25,0.008,124.593964328566
23,2.25,0,123.96038723768
24,2.25,0.004,127.199501389936
25,2.25,0.008,123.669004234179
26,2.25,0,127.675846243123
27,2.25,0.004,123.991323520871
28,2.25,0,125.807142519752
29,2.25,0.008,125.569195018822
30,2.25,0,126.591777549276
31,2.25,0,126.349159216166
32,2.25,0,129.276260006684
33,2.25,0.004,125.936263908101
